#OTU_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
FJ478961.1.1449	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Xanthobacteraceae	 D_5__uncultured	 Ambiguous_taxa
KC211835.1.1404	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Devosiaceae	 D_5__Devosia	 Ambiguous_taxa
FR687425.1.1464	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Phycisphaerae	 D_3__Tepidisphaerales	 D_4__WD2101 soil group	 D_5__uncultured bacterium	 D_6__uncultured bacterium
EU133405.1.1319	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Azospirillales	 D_4__uncultured	 D_5__uncultured bacterium	 D_6__uncultured bacterium
FPLS01048115.7.1391	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Myxococcales	 D_4__Sandaracinaceae	 D_5__uncultured	 D_6__metagenome
KR559973.1.1464	D_0__Bacteria	 D_1__Gemmatimonadetes	 D_2__Gemmatimonadetes	 D_3__Gemmatimonadales	 D_4__Gemmatimonadaceae	 D_5__Gemmatimonas	 D_6__uncultured bacterium
HQ597067.1.1508	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa
FPLS01039234.11.1486	D_0__Bacteria	 D_1__Chloroflexi	 D_2__Anaerolineae	 D_3__SBR1031	 D_4__A4b	 Ambiguous_taxa	 Ambiguous_taxa
CP000481.1397655.1399163	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Frankiales	 D_4__Acidothermaceae	 D_5__Acidothermus	 Ambiguous_taxa
HM269073.1.1362	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Xanthomonadales	 D_4__Xanthomonadaceae	 D_5__uncultured	 D_6__uncultured bacterium
AB630648.1.1493	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Pedosphaerales	 D_4__Pedosphaeraceae	 D_5__uncultured bacterium	 D_6__uncultured bacterium
JX098530.1.1321	D_0__Bacteria	 D_1__Chloroflexi	 D_2__Chloroflexia	 D_3__Thermomicrobiales	 D_4__JG30-KF-CM45	 D_5__uncultured bacterium	 D_6__uncultured bacterium
CP002542.2752771.2754283	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Flavobacteriales	 D_4__Crocinitomicaceae	 D_5__Fluviicola	 Ambiguous_taxa
EU773387.1.1405	D_0__Bacteria	 D_1__Firmicutes	 D_2__Bacilli	 D_3__Bacillales	 D_4__Bacillaceae	 D_5__Bacillus	 D_6__uncultured bacterium
FPLS01009034.10.1332	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Acidobacteriia	 D_3__Solibacterales	 D_4__Solibacteraceae (Subgroup 3)	 D_5__Bryobacter	 Ambiguous_taxa
EF019723.1.1331	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Micropepsales	 D_4__Micropepsaceae	 D_5__uncultured Hyphomicrobiaceae bacterium	 D_6__uncultured Hyphomicrobiaceae bacterium
HJ708598.1.1511	D_0__Bacteria	 D_1__Firmicutes	 D_2__Bacilli	 D_3__Bacillales	 D_4__Bacillaceae	 D_5__Bacillus	 Ambiguous_taxa
JF429074.1.1521	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Nitrosomonadaceae	 D_5__MND1	 Ambiguous_taxa
CP003219.1078945.1080458	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Streptomycetales	 D_4__Streptomycetaceae	 D_5__Streptomyces	 Ambiguous_taxa
GU172180.1.1491	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Chthoniobacterales	 D_4__Xiphinematobacteraceae	 D_5__Candidatus Xiphinematobacter	 Ambiguous_taxa
JN417588.1.1505	D_0__Bacteria	 D_1__Gemmatimonadetes	 D_2__Gemmatimonadetes	 D_3__Gemmatimonadales	 D_4__Gemmatimonadaceae	 D_5__uncultured	 Ambiguous_taxa
KJ615139.1.1292	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Beijerinckiaceae	 D_5__Bosea	 D_6__uncultured bacterium
JF168372.1.1323	D_0__Bacteria	 D_1__Firmicutes	 D_2__Bacilli	 D_3__Bacillales	 D_4__Thermoactinomycetaceae	 D_5__Shimazuella	 D_6__uncultured bacterium
AB374121.1.1463	D_0__Bacteria	 D_1__Firmicutes	 D_2__Clostridia	 D_3__Thermoanaerobacterales	 D_4__Thermoanaerobacteraceae	 D_5__Syntrophaceticus	 D_6__uncultured bacterium
EU787448.1.1432	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Sphingobacteriales	 D_4__Sphingobacteriaceae	 D_5__Solitalea	 D_6__Solitalea koreensis
FJ546408.1.1208	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Sphingobacteriales	 D_4__env.OPS 17	 D_5__uncultured bacterium	 D_6__uncultured bacterium
AY963385.1.1479	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Pedosphaerales	 D_4__Pedosphaeraceae	 D_5__uncultured bacterium	 D_6__uncultured bacterium
JX079199.1.1513	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Propionibacteriales	 D_4__Nocardioidaceae	 D_5__Nocardioides	 D_6__uncultured Nocardioides sp.
HM186196.1.1358	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Chitinophagales	 D_4__Chitinophagaceae	 D_5__Parasegetibacter	 D_6__uncultured bacterium
JF266108.1.1380	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Myxococcales	 D_4__bacteriap25	 D_5__uncultured bacterium	 D_6__uncultured bacterium
HM062333.1.1475	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Blastocatellia (Subgroup 4)	 D_3__Pyrinomonadales	 D_4__Pyrinomonadaceae	 D_5__RB41	 D_6__uncultured Acidobacteria bacterium
AB930499.1.1468	D_0__Bacteria	 D_1__Omnitrophicaeota	 D_2__uncultured bacterium	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
FPLP01001558.2.1434	D_0__Bacteria	 D_1__Elusimicrobia	 D_2__Lineage IIb	 D_3__metagenome	 D_4__metagenome	 D_5__metagenome	 D_6__metagenome
EF019041.1.1385	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Nitrosomonadaceae	 D_5__MND1	 D_6__uncultured Burkholderiaceae bacterium
AB905614.1.1498	D_0__Bacteria	 D_1__Firmicutes	 D_2__Bacilli	 D_3__Bacillales	 D_4__Alicyclobacillaceae	 D_5__Tumebacillus	 Ambiguous_taxa
AB240368.1.1441	D_0__Bacteria	 D_1__Chloroflexi	 D_2__Chloroflexia	 D_3__Chloroflexales	 D_4__Roseiflexaceae	 D_5__uncultured	 D_6__uncultured bacterium
