"MM33"	"MM42"	"MM23"	"MM41"	"MM32"	"MM39"	"MM9"	"MM38"	"MM6"	"MM3"	"MM14"	"MM15"	"MM13"	"MM24"	"MM4"	"MM40"	"MM19"	"MM20"	"MM28"	"MM25"	"MM17"	"MM1"	"MM35"	"MM26"	"MM16"	"MM29"	"MM10"	"MM7"	"MM21"	"MM2"	"MM5"	"MM18"	"MM8"	"MM34"	"MM22"	"MM31"	"MM27"	"MM37"	"MM30"	"MM11"	"MM36"	"MM12"	"MM45"	"MM43"	"MM44"
"3106281"	3	0	2	1	5	0	0	0	0	0	0	5	1	2	1	0	0	0	0	1	1	0	5	2	0	0	0	2	3	0	0	0	1	5	1	1	0	0	0	3	0	2	0	1	0
"4400135"	1	5	3	8	1	1	0	0	0	2	9	0	0	1	2	1	0	1	2	0	0	3	0	2	0	1	0	3	0	3	2	3	0	3	0	2	0	3	1	0	6	0	5	3	1
"1146"	1	1	3	1	0	0	1	1	1	1	0	0	0	0	2	1	2	1	1	2	4	3	0	0	0	0	0	2	1	0	0	0	0	3	0	2	0	1	4	1	0	0	0	0	0
"142373"	81	55	68	112	54	18	13	24	28	59	53	33	23	8	38	22	22	19	59	23	29	28	43	14	6	9	20	28	19	61	30	26	18	117	18	99	4	32	17	10	16	17	52	84	22
"101928"	40	42	24	80	27	17	10	12	17	29	18	16	10	4	17	19	2	13	18	11	6	18	39	4	7	1	16	21	18	31	9	7	15	39	5	36	3	29	7	16	25	8	39	44	18
"556561"	238	101	165	390	193	93	59	80	99	173	61	120	94	37	167	82	59	59	143	86	97	47	69	58	29	50	34	88	76	161	80	72	129	548	53	309	36	131	72	65	127	24	234	35	25
"1141"	3	3	5	11	1	1	2	0	3	3	3	0	1	1	1	0	1	1	0	0	1	2	1	1	0	0	3	4	1	1	1	1	4	0	0	5	0	1	2	0	2	0	1	2	0
"104677"	3	6	0	4	2	0	2	4	2	5	1	3	0	0	3	1	1	0	0	0	2	3	0	0	0	0	0	0	1	1	0	1	1	4	1	1	2	0	1	1	0	0	1	1	2
"1107760"	3	3	1	10	2	0	0	2	2	2	0	1	1	1	0	0	2	1	1	2	0	2	7	0	0	0	0	0	2	1	1	1	0	3	2	8	0	3	0	0	1	0	2	19	2
"1143180"	307	2	48	1	631	1	0	0	11	2	2	43	14	23	0	0	12	2	102	4	44	0	168	1	5	6	0	0	7	3	2	8	52	814	8	0	0	0	0	16	0	21	0	1	0
