# Constructed from biom file
#OTU ID	MM31	MM42	MM40	MM7	MM6	MM37	MM4	MM3	MM38	MM25	MM9	MM28	MM2	MM14	MM1	MM33	MM32	MM8	MM45	MM16	MM13	MM26	MM34	MM5	MM18	MM10	MM23	MM17	MM39	MM11	MM41	MM19	MM27	MM22	MM24	MM29	MM15	MM21	MM12	MM36	MM20	MM30	MM35	MM43	MM44	ConsensusLineage
FJ478961.1.1449	85.0	83.0	25.0	24.0	34.0	6.0	20.0	21.0	15.0	16.0	12.0	12.0	11.0	24.0	21.0	37.0	8.0	14.0	9.0	19.0	14.0	12.0	8.0	12.0	11.0	8.0	22.0	5.0	6.0	2.0	15.0	7.0	3.0	7.0	16.0	2.0	8.0	7.0	1.0	6.0	1.0	3.0	2.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Xanthobacteraceae; D_5__uncultured; Ambiguous_taxa
KC211835.1.1404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Devosiaceae; D_5__Devosia; Ambiguous_taxa
FR687425.1.1464	115.0	552.0	294.0	473.0	577.0	48.0	189.0	562.0	252.0	349.0	211.0	306.0	235.0	722.0	170.0	360.0	143.0	167.0	31.0	390.0	130.0	122.0	74.0	184.0	85.0	237.0	548.0	77.0	108.0	118.0	202.0	119.0	80.0	126.0	162.0	96.0	61.0	80.0	52.0	35.0	75.0	68.0	33.0	45.0	8.0	D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__Tepidisphaerales; D_4__WD2101 soil group; D_5__uncultured bacterium; D_6__uncultured bacterium
EU133405.1.1319	11.0	20.0	7.0	24.0	35.0	4.0	8.0	22.0	15.0	6.0	19.0	26.0	7.0	42.0	5.0	19.0	3.0	8.0	4.0	26.0	6.0	5.0	5.0	11.0	7.0	6.0	53.0	2.0	11.0	4.0	6.0	1.0	3.0	3.0	7.0	5.0	4.0	4.0	2.0	10.0	1.0	4.0	4.0	3.0	4.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Azospirillales; D_4__uncultured; D_5__uncultured bacterium; D_6__uncultured bacterium
FPLS01048115.7.1391	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Myxococcales; D_4__Sandaracinaceae; D_5__uncultured; D_6__metagenome
KR559973.1.1464	25.0	26.0	2.0	11.0	13.0	12.0	7.0	10.0	6.0	10.0	4.0	7.0	11.0	16.0	5.0	1.0	0.0	1.0	7.0	5.0	3.0	3.0	1.0	5.0	2.0	3.0	5.0	1.0	18.0	3.0	4.0	2.0	6.0	8.0	9.0	0.0	0.0	5.0	1.0	26.0	5.0	1.0	22.0	19.0	9.0	D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__Gemmatimonadales; D_4__Gemmatimonadaceae; D_5__Gemmatimonas; D_6__uncultured bacterium
HQ597067.1.1508	13.0	2.0	1.0	0.0	6.0	5.0	3.0	5.0	1.0	10.0	8.0	8.0	2.0	3.0	4.0	41.0	15.0	16.0	1.0	10.0	7.0	2.0	6.0	1.0	6.0	2.0	37.0	5.0	5.0	3.0	1.0	6.0	6.0	5.0	21.0	3.0	15.0	6.0	0.0	0.0	4.0	3.0	35.0	3.0	0.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
FPLS01039234.11.1486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031; D_4__A4b; Ambiguous_taxa; Ambiguous_taxa
CP000481.1397655.1399163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Acidothermaceae; D_5__Acidothermus; Ambiguous_taxa
HM269073.1.1362	13.0	21.0	3.0	3.0	2.0	15.0	29.0	7.0	1.0	416.0	5.0	22.0	6.0	0.0	6.0	81.0	51.0	185.0	14.0	77.0	124.0	68.0	16.0	9.0	55.0	2.0	176.0	25.0	42.0	11.0	0.0	223.0	187.0	489.0	353.0	59.0	76.0	110.0	14.0	30.0	14.0	145.0	477.0	45.0	8.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__Xanthomonadaceae; D_5__uncultured; D_6__uncultured bacterium
AB630648.1.1493	10.0	11.0	9.0	15.0	32.0	3.0	2.0	15.0	3.0	3.0	7.0	14.0	1.0	40.0	4.0	4.0	3.0	3.0	0.0	13.0	3.0	2.0	0.0	5.0	3.0	11.0	13.0	2.0	6.0	9.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	7.0	2.0	1.0	5.0	1.0	0.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Pedosphaerales; D_4__Pedosphaeraceae; D_5__uncultured bacterium; D_6__uncultured bacterium
JX098530.1.1321	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Chloroflexia; D_3__Thermomicrobiales; D_4__JG30-KF-CM45; D_5__uncultured bacterium; D_6__uncultured bacterium
CP002542.2752771.2754283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	3.0	33.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	27.0	561.0	0.0	0.0	2.0	0.0	209.0	0.0	5.0	848.0	0.0	0.0	13.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Crocinitomicaceae; D_5__Fluviicola; Ambiguous_taxa
EU773387.1.1405	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
FPLS01009034.10.1332	0.0	8.0	7.0	12.0	16.0	1.0	5.0	7.0	10.0	20.0	11.0	6.0	5.0	6.0	2.0	1.0	1.0	3.0	0.0	21.0	7.0	17.0	0.0	17.0	13.0	8.0	5.0	16.0	1.0	0.0	4.0	4.0	3.0	9.0	22.0	7.0	1.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Acidobacteriia; D_3__Solibacterales; D_4__Solibacteraceae (Subgroup 3); D_5__Bryobacter; Ambiguous_taxa
EF019723.1.1331	9.0	75.0	77.0	101.0	108.0	7.0	34.0	134.0	176.0	36.0	61.0	18.0	23.0	172.0	63.0	13.0	11.0	4.0	3.0	56.0	6.0	6.0	7.0	39.0	6.0	90.0	26.0	0.0	8.0	9.0	27.0	17.0	9.0	3.0	25.0	15.0	3.0	12.0	1.0	17.0	14.0	10.0	1.0	6.0	6.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Micropepsales; D_4__Micropepsaceae; D_5__uncultured Hyphomicrobiaceae bacterium; D_6__uncultured Hyphomicrobiaceae bacterium
HJ708598.1.1511	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; Ambiguous_taxa
JF429074.1.1521	10.0	10.0	0.0	4.0	2.0	2.0	1.0	5.0	1.0	1.0	0.0	0.0	3.0	1.0	1.0	7.0	1.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	6.0	1.0	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Nitrosomonadaceae; D_5__MND1; Ambiguous_taxa
CP003219.1078945.1080458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Streptomycetales; D_4__Streptomycetaceae; D_5__Streptomyces; Ambiguous_taxa
GU172180.1.1491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Chthoniobacterales; D_4__Xiphinematobacteraceae; D_5__Candidatus Xiphinematobacter; Ambiguous_taxa
JN417588.1.1505	71.0	38.0	8.0	9.0	31.0	22.0	37.0	81.0	15.0	32.0	12.0	64.0	26.0	9.0	5.0	187.0	136.0	63.0	3.0	123.0	26.0	19.0	35.0	23.0	17.0	14.0	177.0	27.0	10.0	17.0	28.0	31.0	13.0	41.0	82.0	33.0	38.0	42.0	9.0	9.0	9.0	25.0	114.0	26.0	4.0	D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__Gemmatimonadales; D_4__Gemmatimonadaceae; D_5__uncultured; Ambiguous_taxa
KJ615139.1.1292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Beijerinckiaceae; D_5__Bosea; D_6__uncultured bacterium
JF168372.1.1323	6.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Thermoactinomycetaceae; D_5__Shimazuella; D_6__uncultured bacterium
AB374121.1.1463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Thermoanaerobacterales; D_4__Thermoanaerobacteraceae; D_5__Syntrophaceticus; D_6__uncultured bacterium
EU787448.1.1432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Sphingobacteriales; D_4__Sphingobacteriaceae; D_5__Solitalea; D_6__Solitalea koreensis
